Participant,Time to Receive,Size of Message,Data size on server
Participant2,3589,598,206035
Participant3,3921,598,411673
Participant3,4917,598,617305
,5050,598,822944
Participant2,7272,598,1028575
,8794,598,1234216
Participant2,11470,598,1439853
Participant3,12141,598,1645494
Participant5,17021,598,1851132
Participant5,19760,598,2056769
Participant6,23319,598,2262408
Participant6,25317,598,2468047
Participant3,35634,598,2673687
Participant6,36886,598,2879331
Participant4,42901,598,3084967
Participant6,46679,598,3290604
Participant5,55515,598,3496237
Participant6,56424,598,3701881
,63554,598,3907521
Participant4,68429,598,4113163
Participant6,79760,598,4318802
Participant6,82648,598,4524441
Participant2,93582,598,4730079
Participant7,102526,598,4935718
Participant6,109727,598,5141357
Participant11,116484,598,5346996
Participant6,121766,598,5552635
Participant2,15394,2068,710037
Participant3,22279,2068,1419673
Participant3,32510,2068,2129312
,43854,2068,2838954
Participant2,63284,2068,3548593
,87297,2068,4258233
Participant2,110888,2068,4967865
Participant3,143544,2068,5677501
Participant5,179011,2068,6387136
Participant5,220908,2068,7096773
Participant6,264355,2068,7806410
