Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,4375,150106,205444,598,206035
 to 8103,4662,150106,205444,598,411673
Participant2 to 8103,5664,150111,205444,598,617305
Participant4 to 8101,6159,150118,205444,598,822944
Participant4 to 8102,7897,150118,205444,598,1028575
Participant5 to 8101,10246,150118,205444,598,1234216
Participant5 to 8102,12151,150118,205444,598,1439853
Participant6 to 8103,13767,150118,205444,598,1645494
Participant6 to 8105,17732,150118,205444,598,1851132
Participant7 to 8105,20960,150118,205444,598,2056769
Participant7 to 8106,24102,150115,205444,598,2262408
Participant8 to 8106,26953,150115,205444,598,2468047
Participant8 to 8103,36608,150118,205444,598,2673687
Participant9 to 8106,39021,150115,205444,598,2879331
Participant9 to 8104,44440,150118,205444,598,3084967
Participant10 to 8106,49746,150119,205444,598,3290604
Participant10 to 8105,56674,150119,205444,598,3496237
Participant11 to 8106,58187,150119,205444,598,3701881
Participant11 to 8101,64771,150119,205444,598,3907521
Participant12 to 8104,71401,150119,205444,598,4113163
Participant12 to 8106,81049,150119,205444,598,4318802
Participant13 to 8106,84626,150119,205444,598,4524441
Participant13 to 8102,95429,150119,205444,598,4730079
Participant14 to 8107,105161,150116,205444,598,4935718
Participant14 to 8106,111248,150119,205444,598,5141357
Participant15 to 8111,118870,150119,205444,598,5346996
Participant15 to 8106,123387,150116,205444,598,5552635
 to 8102,18815,518816,709444,2068,710037
 to 8103,25073,518816,709444,2068,1419673
Participant2 to 8103,35266,518821,709444,2068,2129312
Participant4 to 8101,47696,518828,709444,2068,2838954
Participant4 to 8102,66126,518828,709444,2068,3548593
Participant5 to 8101,91325,518828,709444,2068,4258233
Participant5 to 8102,113964,518828,709444,2068,4967865
Participant6 to 8103,147598,518828,709444,2068,5677501
Participant6 to 8105,182692,518828,709444,2068,6387136
Participant7 to 8105,225882,518828,709444,2068,7096773
Participant7 to 8106,267821,518828,709444,2068,7806410
