Participant,Time to Receive,Size of Message,Data size on server
BParticipant2,731,1,
Participant2,604,1,
BParticipant3,126,1,
BParticipant2,127,1,
BParticipant2,128,1,
Participant2,137,1,
BParticipant2,57,1,
BParticipant2,797,1,
Participant2,649,1,
BParticipant3,107,1,
BParticipant2,105,1,
BParticipant2,71,1,
Participant2,112,1,
BParticipant2,767,1,
Participant2,814,1,
BParticipant3,115,1,
BParticipant2,119,1,
BParticipant2,84,1,
Participant2,95,1,
BParticipant2,668,1,
BParticipant2,691,1,
BParticipant2,123,1,
Participant2,129,1,
BParticipant3,125,1,
BParticipant2,94,1,
BParticipant2,96,1,
Participant2,58,1,
BParticipant2,67,1,
BParticipant2,111,1,
BParticipant2,71,1,
Participant2,152,1,
BParticipant3,79,1,
BParticipant2,105,1,
BParticipant2,60,1,
Participant2,143,1,
BParticipant2,76,1,
