Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
BParticipant3 to 8102,17412,118,344,1,
BParticipant3 to 8101,16115,118,344,1,
BParticipant4 to 8103,45721,118,344,1,
BParticipant4 to 8102,45311,118,344,1,
BParticipant5 to 8102,45839,118,344,1,
BParticipant5 to 8101,30363,118,344,1,
Participant2 to 8102,45338,117,344,1,
BParticipant3 to 8102,17632,118,344,1,
BParticipant3 to 8101,31419,118,344,1,
BParticipant4 to 8103,15876,118,344,1,
BParticipant4 to 8102,45394,118,344,1,
BParticipant5 to 8102,15727,118,344,1,
BParticipant5 to 8101,15343,118,344,1,
BParticipant3 to 8102,17371,118,344,1,
BParticipant3 to 8101,16730,118,344,1,
BParticipant4 to 8103,15766,118,344,1,
BParticipant4 to 8102,15355,118,344,1,
BParticipant5 to 8102,15917,118,344,1,
BParticipant5 to 8101,30302,118,344,1,
Participant1 to 8102,31776,127,344,1,
Participant2 to 8102,17345,117,344,1,
BParticipant3 to 8102,15981,118,344,1,
BParticipant3 to 8101,30362,118,344,1,
BParticipant4 to 8103,15891,118,344,1,
BParticipant4 to 8102,15359,118,344,1,
BParticipant5 to 8102,15816,118,344,1,
BParticipant5 to 8101,15216,118,344,1,
Participant2 to 8102,15221,117,344,1,
Participant2 to 8102,31018,117,344,1,
BParticipant3 to 8102,15467,118,344,1,
BParticipant3 to 8101,60409,118,344,1,
BParticipant4 to 8103,30303,118,344,1,
BParticipant4 to 8102,15570,118,344,1,
BParticipant5 to 8102,30231,118,344,1,
BParticipant5 to 8101,15458,118,344,1,
Participant2 to 8102,15304,117,344,1,
Participant2 to 8102,17520,117,344,1,
BParticipant3 to 8102,15764,118,344,1,
BParticipant3 to 8101,15440,118,344,1,
BParticipant4 to 8103,15963,118,344,1,
BParticipant4 to 8102,15327,118,344,1,
BParticipant5 to 8102,15983,118,344,1,
BParticipant5 to 8101,15340,118,344,1,
Participant2 to 8102,15264,117,344,1,
Participant2 to 8102,15289,117,344,1,
BParticipant3 to 8102,15338,118,344,1,
BParticipant3 to 8101,15257,118,344,1,
BParticipant4 to 8103,15216,118,344,1,
BParticipant4 to 8102,15242,118,344,1,
BParticipant5 to 8102,15238,118,344,1,
BParticipant5 to 8101,15224,118,344,1,
Participant2 to 8102,15176,117,344,1,
participant1 to 8102,16665,117,344,1,
participant3 to 8102,16151,117,344,1,
participant3 to 8101,15273,117,344,1,
participant4 to 8103,15888,117,344,1,
participant4 to 8102,15158,117,344,1,
participant5 to 8102,15418,117,344,1,
participant5 to 8101,15151,117,344,1,
participant1 to 8102,15158,117,344,1,
