Participant,Time to Receive,Size of Message,Data size on server
Participant2,584,1,939
Participant3,501,1,1474
Participant4,572,1,2016
Participant3,37,2,2902
Participant4,33,2,3791
Participant4,39,5,5729
Participant4,3,1,6270
Participant3,3,1,6806
,19,1,7348
Participant3,28,1,7883
Participant5,18,1,8421
Participant2,3,1,8958
,5,1,9489
Participant6,34,1,10035
Participant3,2,1,10566
,2,1,11101
Participant4,18,1,11642
Participant3,2,1,12174
Participant6,19,1,12713
Participant5,10,1,13243
Participant7,26,1,13779
Participant2,18,1,14314
Participant7,13,1,14848
,2,1,15385
Participant4,3,1,15926
,3,1,16464
Participant6,2,1,16999
Participant6,17,1,17532
Participant9,18,1,18070
Participant3,3,1,18608
Participant3,4,1,19145
Participant6,12,1,19681
,2,1,20228
Participant3,3,1,20771
Participant6,19,1,21311
Participant2,24,1,21847
Participant8,40,1,22385
Participant6,17,1,22921
Participant14,40,1,23459
Participant2,72,9,26795
Participant3,57,9,30133
Participant4,47,9,33467
Participant3,100,19,40305
Participant4,100,19,47149
Participant4,244,55,66233
Participant4,40,4,67822
,18,4,69417
Participant3,18,4,71009
,55,11,75049
Participant4,50,11,79084
Participant2,56,11,83121
,21,4,84711
Participant6,55,4,86302
Participant4,23,4,87885
Participant3,24,2,88776
Participant4,30,2,89659
,17,2,90552
Participant7,11,2,91435
Participant5,19,2,92324
,25,2,93217
Participant9,25,1,93752
Participant5,22,1,94294
Participant4,3,1,94834
Participant6,17,1,95373
Participant4,29,1,95920
Participant7,18,1,96457
Participant6,24,1,96992
Participant3,18,1,97534
Participant4,18,1,98074
Participant2,22,1,98619
,18,1,99161
Participant10,33,1,99700
Participant4,11,2,100594
Participant5,24,2,101481
Participant7,19,2,102368
,10,1,102905
Participant4,23,1,103440
Participant9,18,1,103981
Participant2,192,44,119568
Participant3,243,44,135155
Participant4,202,44,150749
Participant3,366,98,184893
Participant4,407,98,219027
Participant4,1117,264,309872
Participant2,103,11,313907
Participant4,90,11,317947
,73,11,321982
,113,19,328826
Participant4,91,19,335664
Participant3,114,19,342501
Participant4,110,11,346538
Participant3,80,11,350581
Participant2,73,11,354615
Participant3,21,2,355502
Participant4,27,2,356385
,53,2,357278
Participant2,60,5,359220
Participant4,50,5,361155
Participant6,36,5,363092
,44,2,363991
Participant4,52,2,364880
Participant5,46,2,365773
,27,1,366312
Participant2,56,1,366851
Participant10,34,1,367384
Participant2,51,1,367926
Participant6,39,1,368464
Participant10,38,1,369008
Participant3,36,1,369545
Participant7,40,1,370076
Participant8,39,1,370616
Participant10,34,2,371509
Participant13,61,2,372399
,33,2,373281
,41,1,373821
Participant12,52,1,374356
Participant2,34,1,374895
Participant2,467,97,408687
Participant3,433,97,442477
Participant4,433,97,476269
Participant3,1189,276,571319
Participant4,1134,276,666358
Participant4,3430,830,951442
Participant3,152,13,956185
Participant2,108,13,960929
,149,13,965663
Participant3,169,27,975303
Participant4,159,27,984936
Participant2,196,27,994583
Participant6,116,12,998969
Participant3,117,12,1003354
,108,12,1007746
,85,4,1009339
Participant7,82,4,1010927
Participant4,94,4,1012508
,87,5,1014446
Participant2,82,5,1016395
Participant3,97,5,1018333
Participant3,119,8,1021323
,110,8,1024307
Participant8,92,8,1027302
Participant10,122,1,1027838
Participant2,75,1,1028376
Participant4,72,1,1028908
Participant2,99,2,1029794
Participant6,81,2,1030674
,91,2,1031570
Participant11,112,4,1033158
Participant5,88,4,1034738
Participant12,105,4,1036326
Participant12,100,2,1037221
Participant10,71,2,1038112
,97,2,1039007
Participant2,64,1,1039546
Participant14,88,1,1040085
Participant5,86,1,1040615
Participant2,693,163,1096806
Participant3,715,163,1152994
Participant4,690,163,1209178
Participant3,2345,572,1405710
Participant4,2315,572,1602251
Participant4,7823,1944,2269545
Participant4,215,20,2276732
Participant3,224,20,2283912
Participant2,257,20,2291099
Participant3,332,47,2307737
Participant2,314,47,2324378
Participant4,384,47,2341018
Participant2,238,18,2347500
Participant3,239,18,2353979
Participant4,268,18,2360465
Participant4,268,15,2365907
Participant3,228,15,2371342
Participant2,227,15,2376780
Participant8,193,5,2378710
Participant4,237,5,2380644
Participant6,167,5,2382581
Participant4,214,12,2386972
Participant8,216,12,2391360
Participant6,233,12,2395744
Participant4,215,7,2398378
Participant9,211,7,2401006
Participant7,251,7,2403646
Participant9,197,11,2407685
Participant11,283,11,2411721
Participant8,281,11,2415761
Participant6,175,4,2417359
Participant3,231,4,2418939
Participant4,235,4,2420530
Participant2,170,4,2422121
Participant6,295,4,2423708
Participant4,228,4,2425294
,258,1,2425834
Participant3,739,1,2426369
Participant2,432,1,2426909
Participant2,1411,165,2483799
Participant3,2583,165,2540688
Participant4,1229,165,2597581
Participant3,12279,951,2923971
Participant4,8204,951,3250360
Participant4,16258,3642,4500047
Participant2,443,20,4507241
Participant3,805,20,4514422
,557,20,4521613
Participant2,682,82,4550152
Participant4,733,82,4578693
,775,82,4607230
Participant5,507,27,4616867
Participant2,551,27,4626508
Participant4,519,27,4636152
,658,55,4655242
Participant3,584,55,4674327
Participant2,570,55,4693409
,421,30,4704098
Participant5,479,30,4714783
Participant7,864,30,4725469
Participant3,456,12,4729862
Participant6,441,12,4734255
Participant5,501,12,4738649
Participant6,551,22,4746537
Participant7,664,22,4754423
Participant10,553,22,4762303
Participant3,2403,11,4766341
Participant9,424,11,4770377
Participant4,1301,11,4774417
Participant8,2516,4,4776001
Participant11,337,4,4777594
Participant10,353,4,4779179
Participant8,1078,4,4780770
Participant2,2651,4,4782351
,8402,4,4783946
Participant12,1137,1,4784486
Participant13,385,1,4785018
Participant2,3286,1,4785557
Participant2,18822,432,4934152
Participant3,9841,432,5082741
Participant4,15214,432,5231331
Participant3,28373,1815,5854169
Participant4,29377,1815,6477010
Participant4,36951,6901,8844252
,956,118,8885039
Participant2,1017,118,8925824
Participant3,2122,118,8966611
Participant4,1285,130,9011609
,1078,130,9056595
Participant3,1097,130,9101583
,3171,101,9136420
Participant4,938,101,9171261
Participant6,1070,101,9206102
Participant3,1495,66,9229042
,1280,66,9251982
Participant2,882,66,9274921
Participant2,906,45,9290867
,2151,45,9306799
Participant3,1233,45,9322746
Participant4,801,48,9339740
Participant8,830,48,9356728
Participant6,787,48,9373713
Participant5,6228,27,9383357
,2250,27,9392994
Participant8,701,27,9402629
Participant2,2686,12,9407017
Participant8,686,12,9411404
,1155,12,9415790
,5994,5,9417734
Participant10,755,5,9419674
Participant2,6732,5,9421608
Participant8,5724,4,9423196
,5139,4,9424789
Participant7,6877,4,9426375
,817,1,9426921
Participant14,584,1,9427453
Participant3,7400,1,9427996
Participant2,21867,1142,9820184
Participant3,34568,1142,10212365
Participant4,49914,1142,10604552
Participant3,16986,3745,11889595
Participant4,17480,3745,13174631
Participant4,105015,14188,18041574
Participant4,2146,157,18095668
,2592,157,18149752
Participant3,1792,157,18203835
,2348,338,18320223
Participant3,2539,338,18436611
Participant4,2393,338,18552996
,2133,107,18589942
Participant4,1630,107,18626892
Participant3,1637,107,18663832
Participant5,2862,194,18730864
Participant6,2326,194,18797891
Participant4,1867,194,18864931
Participant6,2048,45,18880868
Participant4,3897,45,18896808
,1376,45,18912744
,2486,56,18932176
Participant9,1477,56,18951614
Participant4,1417,56,18971053
Participant10,1877,27,18980688
Participant4,2251,27,18990325
Participant6,3630,27,18999967
Participant11,1542,12,19004351
,1933,12,19008736
Participant3,17548,12,19013122
Participant3,21308,5,19015058
Participant9,8710,5,19017002
Participant7,12294,5,19018947
Participant13,1258,5,19020888
,5995,5,19022829
Participant9,11551,5,19024765
Participant4,11298,1,19025302
,3520,1,19025841
Participant9,4643,1,19026379
Participant2,525,1,1337
Participant3,535,2,2220
Participant2,519,1,1341
Participant2,566,1,935
Participant3,579,1,1474
Participant3,27,2,2364
,19,1,2903
Participant2,18,1,3440
,15,1,3977
Participant2,21,1,4515
Participant3,14,1,5053
Participant5,34,1,5586
Participant5,3,1,6126
Participant6,34,1,6668
Participant6,27,1,7205
Participant3,3,1,7754
Participant6,14,1,8288
Participant4,40,1,8824
Participant6,20,1,9368
Participant5,19,1,9909
Participant6,3,1,10455
,3,1,10987
Participant4,26,1,11527
Participant6,17,1,12066
Participant6,8,1,12603
Participant2,3,1,13143
Participant7,35,1,13685
Participant6,3,1,14232
Participant11,39,1,14772
Participant6,3,1,15309
