Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,827,109,344,1,939
 to 8103,698,109,344,1,1474
 to 8104,830,109,344,1,2016
Participant2 to 8103,281,469,694,2,2902
Participant2 to 8104,97,470,694,2,3791
Participant3 to 8104,269,1173,1744,5,5729
Participant5 to 8104,483,121,344,1,6270
Participant5 to 8103,77,120,344,1,6806
Participant5 to 8101,65,121,344,1,7348
Participant6 to 8103,517,121,344,1,7883
Participant6 to 8105,93,121,344,1,8421
Participant6 to 8102,67,121,344,1,8958
Participant7 to 8101,519,121,344,1,9489
Participant7 to 8106,94,121,344,1,10035
Participant7 to 8103,64,121,344,1,10566
Participant8 to 8101,497,121,344,1,11101
Participant8 to 8104,88,121,344,1,11642
Participant8 to 8103,53,121,344,1,12174
Participant9 to 8106,518,121,344,1,12713
Participant9 to 8105,69,120,344,1,13243
Participant9 to 8107,101,121,344,1,13779
Participant10 to 8102,515,121,344,1,14314
Participant10 to 8107,70,122,344,1,14848
Participant10 to 8101,51,122,344,1,15385
Participant11 to 8104,485,122,344,1,15926
Participant11 to 8101,65,122,344,1,16464
Participant11 to 8106,55,122,344,1,16999
Participant12 to 8106,485,120,344,1,17532
Participant12 to 8109,103,122,344,1,18070
Participant12 to 8103,63,122,344,1,18608
Participant13 to 8103,463,122,344,1,19145
Participant13 to 8106,70,121,344,1,19681
Participant13 to 8101,64,122,344,1,20228
Participant14 to 8103,523,121,344,1,20771
Participant14 to 8106,100,122,344,1,21311
Participant14 to 8102,97,122,344,1,21847
Participant15 to 8108,605,122,344,1,22385
Participant15 to 8106,107,122,344,1,22921
Participant15 to 8114,106,122,344,1,23459
 to 8102,149,2207,3144,9,26795
 to 8103,121,2207,3144,9,30133
 to 8104,100,2207,3144,9,33467
Participant2 to 8103,169,4718,6644,19,40305
Participant2 to 8104,184,4718,6644,19,47149
Participant3 to 8104,390,13590,18894,55,66233
Participant5 to 8104,105,819,1394,4,67822
Participant5 to 8101,79,819,1394,4,69417
Participant5 to 8103,96,818,1394,4,71009
Participant6 to 8101,119,2579,3844,11,75049
Participant6 to 8104,144,2579,3844,11,79084
Participant6 to 8102,132,2579,3844,11,83121
Participant7 to 8101,99,812,1394,4,84711
Participant7 to 8106,117,812,1394,4,86302
Participant7 to 8104,107,812,1394,4,87885
Participant8 to 8103,96,462,694,2,88776
Participant8 to 8104,100,462,694,2,89659
Participant8 to 8101,84,462,694,2,90552
Participant9 to 8107,87,468,694,2,91435
Participant9 to 8105,77,468,694,2,92324
Participant9 to 8101,79,468,694,2,93217
Participant10 to 8109,78,122,344,1,93752
Participant10 to 8105,82,121,344,1,94294
Participant10 to 8104,78,122,344,1,94834
Participant11 to 8106,76,121,344,1,95373
Participant11 to 8104,83,122,344,1,95920
Participant11 to 8107,82,122,344,1,96457
Participant12 to 8106,88,122,344,1,96992
Participant12 to 8103,85,122,344,1,97534
Participant12 to 8104,92,122,344,1,98074
Participant13 to 8102,86,122,344,1,98619
Participant13 to 8101,99,121,344,1,99161
Participant13 to 8110,103,122,344,1,99700
Participant14 to 8104,91,469,694,2,100594
Participant14 to 8105,84,469,694,2,101481
Participant14 to 8107,86,468,694,2,102368
Participant15 to 8101,83,122,344,1,102905
Participant15 to 8104,87,121,344,1,103440
Participant15 to 8109,86,122,344,1,103981
 to 8102,284,11071,15394,44,119568
 to 8103,345,11071,15394,44,135155
 to 8104,316,11071,15394,44,150749
Participant2 to 8103,549,24585,33944,98,184893
Participant2 to 8104,530,24585,33944,98,219027
Participant3 to 8104,1350,66168,90644,264,309872
Participant5 to 8102,263,2588,3844,11,313907
Participant5 to 8104,194,2588,3844,11,317947
Participant5 to 8101,209,2588,3844,11,321982
Participant6 to 8101,272,4702,6644,19,328826
Participant6 to 8104,220,4702,6644,19,335664
Participant6 to 8103,231,4702,6644,19,342501
Participant7 to 8104,266,2583,3844,11,346538
Participant7 to 8103,205,2583,3844,11,350581
Participant7 to 8102,195,2582,3844,11,354615
Participant8 to 8103,188,462,694,2,355502
Participant8 to 8104,153,462,694,2,356385
Participant8 to 8101,184,461,694,2,357278
Participant9 to 8102,236,1166,1744,5,359220
Participant9 to 8104,200,1165,1744,5,361155
Participant9 to 8106,169,1166,1744,5,363092
Participant10 to 8101,240,463,694,2,363991
Participant10 to 8104,190,463,694,2,364880
Participant10 to 8105,184,461,694,2,365773
Participant11 to 8101,222,122,344,1,366312
Participant11 to 8102,222,122,344,1,366851
Participant11 to 8110,156,122,344,1,367384
Participant12 to 8102,195,122,344,1,367926
Participant12 to 8106,184,122,344,1,368464
Participant12 to 8110,207,121,344,1,369008
Participant13 to 8103,176,122,344,1,369545
Participant13 to 8107,253,122,344,1,370076
Participant13 to 8108,184,122,344,1,370616
Participant14 to 8110,226,469,694,2,371509
Participant14 to 8113,231,469,694,2,372399
Participant14 to 8101,194,469,694,2,373281
Participant15 to 8101,281,122,344,1,373821
Participant15 to 8112,215,121,344,1,374356
Participant15 to 8102,193,122,344,1,374895
 to 8102,662,24556,33594,97,408687
 to 8103,729,24556,33594,97,442477
 to 8104,611,24556,33594,97,476269
Participant2 to 8103,1518,69331,94844,276,571319
Participant2 to 8104,1586,69331,94844,276,666358
Participant3 to 8104,4266,208332,284894,830,951442
Participant5 to 8103,444,3296,4544,13,956185
Participant5 to 8102,466,3296,4544,13,960929
Participant5 to 8101,486,3296,4544,13,965663
Participant6 to 8103,478,6825,9444,27,975303
Participant6 to 8104,516,6824,9444,27,984936
Participant6 to 8102,445,6825,9444,27,994583
Participant7 to 8106,417,2943,4194,12,998969
Participant7 to 8103,563,2943,4194,12,1003354
Participant7 to 8101,399,2943,4194,12,1007746
Participant8 to 8101,374,810,1394,4,1009339
Participant8 to 8107,547,811,1394,4,1010927
Participant8 to 8104,347,811,1394,4,1012508
Participant9 to 8101,407,1166,1744,5,1014446
Participant9 to 8102,484,1166,1744,5,1016395
Participant9 to 8103,375,1166,1744,5,1018333
Participant10 to 8103,446,1883,2794,8,1021323
Participant10 to 8101,463,1883,2794,8,1024307
Participant10 to 8108,401,1883,2794,8,1027302
Participant11 to 8110,475,122,344,1,1027838
Participant11 to 8102,500,122,344,1,1028376
Participant11 to 8104,348,122,344,1,1028908
Participant12 to 8102,448,468,694,2,1029794
Participant12 to 8106,450,468,694,2,1030674
Participant12 to 8101,385,468,694,2,1031570
Participant13 to 8111,540,819,1394,4,1033158
Participant13 to 8105,483,819,1394,4,1034738
Participant13 to 8112,410,819,1394,4,1036326
Participant14 to 8112,486,469,694,2,1037221
Participant14 to 8110,401,469,694,2,1038112
Participant14 to 8101,462,469,694,2,1039007
Participant15 to 8102,539,122,344,1,1039546
Participant15 to 8114,411,122,344,1,1040085
Participant15 to 8105,499,122,344,1,1040615
 to 8102,1238,40889,55994,163,1096806
 to 8103,1131,40889,55994,163,1152994
 to 8104,1118,40889,55994,163,1209178
Participant2 to 8103,3322,143566,196344,572,1405710
Participant2 to 8104,3095,143566,196344,572,1602251
Participant3 to 8104,10719,487717,667094,1944,2269545
Participant5 to 8104,786,5069,6994,20,2276732
Participant5 to 8103,1010,5069,6994,20,2283912
Participant5 to 8102,764,5069,6994,20,2291099
Participant6 to 8103,1061,11801,16444,47,2307737
Participant6 to 8102,1035,11801,16444,47,2324378
Participant6 to 8104,1056,11801,16444,47,2341018
Participant7 to 8102,1015,4360,6294,18,2347500
Participant7 to 8103,813,4361,6294,18,2353979
Participant7 to 8104,802,4360,6294,18,2360465
Participant8 to 8104,1073,3652,5244,15,2365907
Participant8 to 8103,841,3652,5244,15,2371342
Participant8 to 8102,801,3652,5244,15,2376780
Participant9 to 8108,1005,1166,1744,5,2378710
Participant9 to 8104,1017,1166,1744,5,2380644
Participant9 to 8106,760,1166,1744,5,2382581
Participant10 to 8104,939,2947,4194,12,2386972
Participant10 to 8108,967,2946,4194,12,2391360
Participant10 to 8106,882,2946,4194,12,2395744
Participant11 to 8104,1000,1539,2444,7,2398378
Participant11 to 8109,901,1540,2444,7,2401006
Participant11 to 8107,1089,1540,2444,7,2403646
Participant12 to 8109,1034,2596,3844,11,2407685
Participant12 to 8111,1215,2596,3844,11,2411721
Participant12 to 8108,1005,2596,3844,11,2415761
Participant13 to 8106,956,819,1394,4,2417359
Participant13 to 8103,1071,819,1394,4,2418939
Participant13 to 8104,1331,818,1394,4,2420530
Participant14 to 8102,1133,821,1394,4,2422121
Participant14 to 8106,1429,822,1394,4,2423708
Participant14 to 8104,1529,822,1394,4,2425294
Participant15 to 8101,4245,122,344,1,2425834
Participant15 to 8103,1582,122,344,1,2426369
Participant15 to 8102,1521,122,344,1,2426909
 to 8102,10077,41239,56694,165,2483799
 to 8103,4061,41239,56694,165,2540688
 to 8104,2561,41239,56694,165,2597581
Participant2 to 8103,20292,238361,326194,951,2923971
Participant2 to 8104,9687,238360,326194,951,3250360
Participant3 to 8104,22892,913839,1249494,3642,4500047
Participant5 to 8102,9650,5069,6994,20,4507241
Participant5 to 8103,2310,5069,6994,20,4514422
Participant5 to 8101,2036,5069,6994,20,4521613
Participant6 to 8102,6663,20671,28344,82,4550152
Participant6 to 8104,2392,20671,28344,82,4578693
Participant6 to 8101,2164,20671,28344,82,4607230
Participant7 to 8105,17839,6837,9444,27,4616867
Participant7 to 8102,2150,6838,9444,27,4626508
Participant7 to 8104,1812,6838,9444,27,4636152
Participant8 to 8101,14245,13604,18894,55,4655242
Participant8 to 8103,3027,13604,18894,55,4674327
Participant8 to 8102,1740,13604,18894,55,4693409
Participant9 to 8101,13539,7561,10494,30,4704098
Participant9 to 8105,2162,7560,10494,30,4714783
Participant9 to 8107,3568,7561,10494,30,4725469
Participant10 to 8103,14233,2947,4194,12,4729862
Participant10 to 8106,2352,2947,4194,12,4734255
Participant10 to 8105,1917,2946,4194,12,4738649
Participant11 to 8106,22985,5450,7694,22,4746537
Participant11 to 8107,3284,5449,7694,22,4754423
Participant11 to 8110,2368,5450,7694,22,4762303
Participant12 to 8103,32077,2596,3844,11,4766341
Participant12 to 8109,2189,2595,3844,11,4770377
Participant12 to 8104,3041,2596,3844,11,4774417
