Participant,Time to Receive,Size of Message,Data size on server
Participant2,3,1,932
Participant3,4,1,1470
Participant4,116,1,2005
Participant3,23,2,2898
Participant4,34,2,3783
Participant4,29,5,5723
Participant2,10,1,6258
Participant4,23,1,6802
,15,1,7338
,3,1,7879
Participant4,12,1,8426
Participant3,10,1,8964
Participant4,21,1,9503
Participant3,10,1,10047
Participant2,8,1,10586
Participant3,11,1,11121
Participant4,11,1,11660
,8,1,12200
Participant2,9,1,12736
Participant4,12,1,13277
Participant6,22,1,13817
,15,1,14350
Participant4,13,1,14895
Participant5,1,1,15440
,13,1,15979
Participant2,10,1,16514
Participant10,15,1,17050
Participant2,2,1,17586
Participant6,3,1,18127
Participant10,3,1,18667
Participant3,2,1,19200
Participant7,3,1,19741
Participant8,13,1,20283
Participant10,11,1,20815
Participant13,17,1,21351
,13,1,21886
,13,1,22418
Participant12,3,1,22957
Participant2,1,1,23492
