Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,38,109,344,1,934
 to 8103,68,108,344,1,1466
 to 8104,43,109,344,1,2003
 to 8105,31,109,344,1,2544
 to 8106,45,109,344,1,3085
Participant2 to 8103,52,463,694,2,3977
Participant2 to 8104,36,463,694,2,4864
Participant2 to 8105,49,463,694,2,5753
Participant2 to 8106,35,463,694,2,6640
Participant3 to 8104,70,1171,1744,5,8577
Participant3 to 8105,52,1172,1744,5,10519
Participant3 to 8106,52,1172,1744,5,12456
Participant4 to 8105,96,2952,4194,12,16843
Participant4 to 8106,90,2952,4194,12,21229
Participant5 to 8106,175,7218,10144,29,31567
Participant7 to 8106,39,121,344,1,32099
Participant7 to 8103,44,121,344,1,32642
Participant7 to 8104,40,121,344,1,33178
Participant7 to 8102,40,121,344,1,33713
Participant7 to 8101,46,121,344,1,34251
Participant8 to 8105,53,121,344,1,34791
Participant8 to 8101,38,121,344,1,35333
Participant8 to 8102,42,121,344,1,35878
Participant8 to 8106,41,120,344,1,36420
Participant8 to 8107,44,120,344,1,36956
Participant9 to 8106,40,120,344,1,37493
Participant9 to 8104,42,120,344,1,38034
Participant9 to 8103,36,121,344,1,38570
Participant9 to 8101,41,121,344,1,39105
Participant9 to 8102,42,121,344,1,39648
Participant10 to 8109,47,122,344,1,40187
Participant10 to 8106,44,122,344,1,40724
Participant10 to 8108,51,122,344,1,41261
Participant10 to 8104,44,122,344,1,41794
Participant10 to 8107,50,122,344,1,42328
Participant11 to 8105,51,122,344,1,42867
Participant11 to 8106,48,122,344,1,43400
Participant11 to 8103,50,122,344,1,43943
Participant11 to 8102,48,121,344,1,44473
Participant11 to 8110,48,122,344,1,45007
Participant12 to 8103,58,122,344,1,45542
Participant12 to 8110,57,121,344,1,46084
Participant12 to 8105,42,122,344,1,46620
Participant12 to 8101,55,122,344,1,47152
Participant12 to 8102,56,122,344,1,47687
Participant13 to 8106,75,122,344,1,48231
Participant13 to 8107,90,122,344,1,48761
Participant13 to 8104,59,121,344,1,49306
Participant13 to 8101,46,122,344,1,49842
Participant13 to 8102,51,122,344,1,50382
Participant14 to 8106,62,122,344,1,50923
Participant14 to 8110,46,122,344,1,51458
Participant14 to 8101,59,120,344,1,51998
Participant14 to 8102,55,122,344,1,52525
Participant14 to 8109,53,122,344,1,53058
Participant15 to 8106,54,122,344,1,53604
Participant15 to 8101,51,122,344,1,54146
Participant15 to 8104,72,122,344,1,54679
Participant15 to 8111,53,122,344,1,55221
Participant15 to 8105,63,122,344,1,55765
