Participant,Time to Receive,Size of Message,Data size on server
participant2,631,20,
participant3,497,20,
participant4,462,20,
participant5,594,20,
participant6,636,20,
participant7,650,20,
participant8,589,20,
participant9,557,20,
participant10,606,20,
participant11,542,20,
participant3,487,20,
participant4,530,20,
participant5,520,20,
participant6,535,20,
participant7,624,20,
participant8,514,20,
participant9,579,20,
participant10,532,20,
participant11,497,20,
participant4,578,20,
participant5,481,20,
participant6,565,20,
participant7,499,20,
participant8,564,20,
participant9,498,20,
participant10,529,20,
participant11,533,20,
participant5,524,20,
participant6,448,20,
participant7,571,20,
participant8,555,20,
participant9,490,20,
participant10,507,20,
participant11,521,20,
participant6,480,20,
participant7,479,20,
participant8,568,20,
participant9,519,20,
participant10,598,20,
participant11,516,20,
participant7,595,20,
participant8,516,20,
participant9,543,20,
participant10,550,20,
participant11,534,20,
participant8,505,20,
participant9,517,20,
participant10,529,20,
participant11,649,20,
participant9,498,20,
participant10,580,20,
participant11,536,20,
participant10,605,20,
participant11,478,20,
participant11,554,20,
participant1,482,20,
participant11,522,20,
participant9,539,20,
participant8,511,20,
participant3,504,20,
participant7,517,20,
participant6,673,20,
participant4,511,20,
participant5,552,20,
participant2,484,20,
participant8,547,20,
participant2,442,20,
participant10,526,20,
participant4,462,20,
participant7,538,20,
participant6,494,20,
participant3,501,20,
participant1,553,20,
participant5,509,20,
participant12,645,20,
participant3,506,20,
participant10,533,20,
participant8,511,20,
participant13,518,20,
participant11,539,20,
participant9,467,20,
participant5,499,20,
participant7,519,20,
participant2,553,20,
participant6,498,20,
participant14,501,20,
participant10,515,20,
participant5,505,20,
participant13,515,20,
participant3,542,20,
participant8,572,20,
participant2,451,20,
participant1,527,20,
participant12,509,20,
participant11,509,20,
participant5,662,20,
participant10,553,20,
participant13,485,20,
participant1,492,20,
participant11,514,20,
participant8,707,20,
participant3,549,20,
participant2,519,20,
participant6,481,20,
participant14,530,20,
participant5,540,20,
participant3,583,20,
participant2,515,20,
participant8,502,20,
participant12,499,20,
participant9,507,20,
participant16,568,20,
participant11,470,20,
participant14,569,20,
participant4,501,20,
participant10,599,20,
participant12,463,20,
participant4,552,20,
participant9,471,20,
participant16,515,20,
participant7,571,20,
participant8,606,20,
participant3,553,20,
participant1,516,20,
participant2,447,20,
participant11,487,20,
participant17,462,20,
participant10,613,20,
participant15,547,20,
participant7,504,20,
participant12,531,20,
participant4,535,20,
participant8,513,20,
participant9,569,20,
participant2,559,20,
participant16,470,20,
participant14,518,20,
participant5,512,20,
participant11,592,20,
participant8,549,20,
participant13,473,20,
participant6,540,20,
participant2,480,20,
participant12,516,20,
participant9,503,20,
