Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,46433,5113,6994,20,
participant1 to 8103,31763,5113,6994,20,
participant2 to 8103,48320,5113,6994,20,
participant4 to 8101,15829,5113,6994,20,
participant4 to 8103,46139,5113,6994,20,
participant5 to 8101,33947,5113,6994,20,
participant5 to 8103,46489,5113,6994,20,
participant6 to 8105,31211,5113,6994,20,
participant6 to 8101,17427,5113,6994,20,
participant7 to 8101,15797,5113,6994,20,
participant7 to 8105,62308,5113,6994,20,
participant8 to 8103,15659,5113,6994,20,
participant8 to 8107,15821,5113,6994,20,
participant9 to 8103,1306,5113,6994,20,
participant9 to 8101,18049,5113,6994,20,
participant10 to 8107,16844,5114,6994,20,
participant10 to 8105,15829,5114,6994,20,
participant11 to 8108,16558,5114,6994,20,
participant11 to 8101,15953,5114,6994,20,
participant12 to 8105,17114,5114,6994,20,
participant12 to 8109,15673,5114,6994,20,
participant13 to 8102,15724,5114,6994,20,
participant13 to 8101,16373,5114,6994,20,
participant14 to 8112,16903,5114,6994,20,
participant14 to 8111,16070,5114,6994,20,
participant15 to 8101,15866,5114,6994,20,
participant15 to 8104,15857,5114,6994,20,
participant16 to 8109,15890,5114,6994,20,
participant16 to 8101,15873,5114,6994,20,
participant17 to 8102,15791,5114,6994,20,
participant17 to 8113,15781,5114,6994,20,
participant18 to 8101,31213,5114,6994,20,
participant18 to 8109,31133,5114,6994,20,
participant19 to 8109,45842,5114,6994,20,
participant19 to 8111,30729,5114,6994,20,
participant20 to 8111,15756,5114,6994,20,
participant20 to 8103,15857,5114,6994,20,
