Participant,Time to Receive,Size of Message,Data size on server
Participant2,16,1,936
Participant3,12,1,1471
Participant4,4,1,2013
Participant5,4,1,2548
Participant6,42,1,3090
Participant7,9,1,3628
Participant8,6,1,4167
Participant9,4,1,4708
Participant10,4,1,5251
Participant11,4,1,5795
Participant12,5,1,6329
Participant13,3,1,6866
Participant14,23,1,7403
Participant15,16,1,7939
Participant16,5,1,8484
Participant3,26,2,9371
Participant4,25,2,10262
Participant5,28,2,11150
Participant6,89,2,12049
Participant7,24,2,12943
Participant8,22,2,13831
Participant9,8,2,14713
Participant10,24,2,15605
Participant11,23,2,16487
Participant12,38,2,17372
Participant13,37,2,18266
Participant14,22,2,19157
Participant15,39,2,20040
Participant16,8,2,20928
Participant4,49,5,22868
Participant5,48,5,24811
Participant6,58,5,26749
Participant7,42,5,28692
Participant8,53,5,30629
Participant9,45,5,32569
Participant10,33,5,34509
Participant11,55,5,36444
Participant12,53,5,38384
Participant13,65,5,40316
Participant14,52,5,42248
Participant15,50,5,44181
Participant16,18,5,46112
Participant5,86,12,50501
Participant6,96,12,54889
Participant7,94,12,59281
Participant8,98,12,63676
Participant9,80,12,68067
Participant10,89,12,72449
Participant11,117,12,76839
Participant12,126,12,81233
Participant13,59,12,85624
Participant14,142,12,90013
Participant15,108,12,94402
Participant16,51,12,98795
Participant6,236,29,109130
Participant7,237,29,119473
Participant8,301,29,129806
Participant9,237,29,140141
Participant10,231,29,150486
Participant11,235,29,160834
Participant12,215,29,171168
Participant13,249,29,181502
Participant14,227,29,191840
Participant15,258,29,202182
Participant16,140,29,212516
Participant7,522,70,236850
Participant8,591,70,261190
Participant9,556,70,285524
Participant10,1153,70,309857
Participant11,549,70,334194
Participant12,729,70,358537
Participant13,674,70,382884
Participant14,1266,70,407217
Participant15,707,70,431553
Participant16,341,70,455889
Participant8,4939,168,513834
Participant9,2598,168,571772
Participant10,1866,168,629714
Participant11,1615,168,687647
Participant12,1509,168,745578
Participant13,1687,168,803509
Participant14,1884,168,861445
Participant15,1833,168,919380
Participant16,651,168,977307
Participant9,9514,402,1115395
Participant10,5222,402,1253484
Participant11,5397,402,1391562
Participant12,6195,402,1529647
Participant13,10204,402,1667740
Participant14,5835,402,1805831
Participant15,6718,402,1943926
Participant16,11614,402,2082012
Participant10,20730,960,2411546
Participant11,23432,960,2741087
Participant12,14218,960,3070625
Participant13,18980,960,3400159
Participant14,31862,960,3729699
Participant15,30444,960,4059237
Participant16,31074,960,4388780
Participant11,11381,2292,5175425
Participant12,12393,2292,5962070
Participant13,15409,2292,6748702
Participant14,10157,2292,7535345
Participant15,10042,2292,8321982
Participant16,10127,2292,9108625
Participant12,26948,5475,10986913
Participant13,27698,5475,12865200
Participant14,29119,5475,14743496
Participant15,30067,5475,16621790
Participant16,31090,5475,18500083
Participant13,94794,13073,22984473
Participant14,94881,13073,27468860
Participant15,100522,13073,31953244
Participant16,103145,13073,36437626
Participant14,406196,31218,47145712
Participant15,409478,31218,57853810
Participant16,391741,31218,68561899
Participant15,1366227,74549,94132738
Participant16,1303228,74549,119703575
Participant16,6472398,178018,180764054
Participant10,54977,1,180764593
