Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,47608,5113,6994,20,
participant1 to 8103,46201,5113,6994,20,
participant1 to 8104,17309,5113,6994,20,
participant1 to 8105,17299,5113,6994,20,
participant1 to 8106,31274,5113,6994,20,
participant2 to 8103,15700,5113,6994,20,
participant2 to 8104,30858,5113,6994,20,
participant2 to 8105,16105,5113,6994,20,
participant2 to 8106,16232,5113,6994,20,
participant3 to 8104,30792,5113,6994,20,
participant3 to 8105,48629,5113,6994,20,
participant3 to 8106,32745,5113,6994,20,
participant4 to 8105,30810,5113,6994,20,
participant4 to 8106,30725,5113,6994,20,
participant5 to 8106,16569,5113,6994,20,
participant7 to 8104,17911,5113,6994,20,
participant7 to 8106,16128,5113,6994,20,
participant7 to 8103,31236,5113,6994,20,
participant7 to 8105,30860,5113,6994,20,
participant7 to 8101,16857,5113,6994,20,
participant8 to 8107,32199,5113,6994,20,
participant8 to 8102,16244,5113,6994,20,
participant8 to 8101,16139,5113,6994,20,
participant8 to 8106,15793,5113,6994,20,
participant8 to 8103,16435,5113,6994,20,
participant9 to 8104,16060,5113,6994,20,
participant9 to 8106,33861,5113,6994,20,
participant9 to 8101,17036,5113,6994,20,
participant9 to 8102,46185,5113,6994,20,
participant9 to 8103,16831,5113,6994,20,
participant10 to 8104,31297,5114,6994,20,
participant10 to 8101,15860,5114,6994,20,
participant10 to 8107,46746,5114,6994,20,
participant10 to 8108,16181,5114,6994,20,
participant10 to 8109,15939,5114,6994,20,
participant11 to 8102,31118,5114,6994,20,
participant11 to 8110,15747,5114,6994,20,
participant11 to 8104,15983,5114,6994,20,
participant11 to 8105,31310,5114,6994,20,
participant11 to 8109,32075,5114,6994,20,
participant12 to 8101,15849,5114,6994,20,
participant12 to 8103,15786,5114,6994,20,
participant12 to 8110,15711,5114,6994,20,
participant12 to 8105,31982,5114,6994,20,
participant12 to 8111,75818,5114,6994,20,
participant13 to 8109,16601,5114,6994,20,
participant13 to 8104,30808,5114,6994,20,
participant13 to 8107,15944,5114,6994,20,
participant13 to 8108,30818,5114,6994,20,
participant13 to 8102,15747,5114,6994,20,
participant14 to 8108,32564,5114,6994,20,
participant14 to 8110,15910,5114,6994,20,
participant14 to 8102,16779,5114,6994,20,
participant14 to 8101,31373,5114,6994,20,
participant14 to 8109,15806,5114,6994,20,
participant15 to 8101,16733,5114,6994,20,
participant15 to 8105,16671,5114,6994,20,
participant15 to 8110,15996,5114,6994,20,
participant15 to 8104,31700,5114,6994,20,
participant15 to 8106,15871,5114,6994,20,
participant16 to 8102,16132,5114,6994,20,
participant16 to 8103,30909,5114,6994,20,
participant16 to 8105,30830,5114,6994,20,
participant16 to 8101,16355,5114,6994,20,
participant16 to 8114,30762,5114,6994,20,
participant17 to 8113,16937,5114,6994,20,
participant17 to 8114,16231,5114,6994,20,
participant17 to 8116,16728,5114,6994,20,
participant17 to 8104,17378,5114,6994,20,
participant17 to 8106,17831,5114,6994,20,
participant18 to 8113,15837,5114,6994,20,
participant18 to 8104,15863,5114,6994,20,
participant18 to 8101,46034,5114,6994,20,
participant18 to 8117,17218,5114,6994,20,
participant18 to 8107,31662,5114,6994,20,
participant19 to 8102,15714,5114,6994,20,
participant19 to 8101,45752,5114,6994,20,
participant19 to 8116,16953,5114,6994,20,
participant19 to 8109,17074,5114,6994,20,
participant19 to 8113,17384,5114,6994,20,
participant20 to 8105,30906,5114,6994,20,
participant20 to 8118,15843,5114,6994,20,
participant20 to 8101,16227,5114,6994,20,
participant20 to 8107,30785,5114,6994,20,
participant20 to 8103,31412,5114,6994,20,
